Agency,Agency Name
3-1-1,311 QUALITY ASSURANCE
3-1-1,3-1-1 CALL CENTER
BIC,BUSINESS INTEGRITY COMMISSION
CCHR,COMMISSION ON HUMAN RIGHTS
CCRB,CIVILIAN COMPLAINT REVIEW BOARD
DCA,DEPARTMENT OF CONSUMER AFFAIRS
DCAS,DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES
DCP,DEPARTMENT OF CITY PLANNING
DEP,DEPARTMENT OF ENVIRONMENTAL PROTECTION
DFTA,DEPARTMENT FOR THE AGING
DHS,DEPARTMENT OF HOMELESS SERVICES
DOB,DEPARTMENT OF BUILDINGS
DOE,SCHOOL - PS 123 MAHALIA JACKSON
DOE,SCHOOL - PS 5 ELLEN LURIE
DOE,SCHOOL - PS 165 ROBERT E SIMON
DOE,SCHOOL - WASHINGTON IRVING HIGH SCHOOL
DOE,SCHOOL - PS 128 AUDUBON
DOE,SCHOOL - PS-IS 116 WILLIAM C HUGHLEY
DOE,SCHOOL - PS 36 J C DRUMGOOLE
DOE,SCHOOL - JHS 190 RUSSELL SAGE
DOE,SCHOOL - PS 272 CURTIS ESTABROOK
DOE,SCHOOL - PS 22 GRANITEVILLE
DOE,SCHOOL - PS 153 HELLEN KELLER
DOE,SCHOOL - PS 120 CARLOS TAPIA
DOE,SCHOOL - PS 183 DR RICHARD R GREEN
DOE,SCHOOL - PS 197 JOHN B RUSSWURM
DOE,SCHOOL - JHS 78 ROY H MANN
DOE,SCHOOL - BROOKLYN SCHOOL FOR GLOBAL STUDIES
DOE,SCHOOL - PS 202 ERNEST S JENKYNS
DOE,SCHOOL - PS 225 THE EILEEN E ZAGLIN
DOE,SCHOOL - PS 76 A PHILIP RANDOLPH
DOE,SCHOOL - JHS 123 JAMES M KIERAN
DOE,CENTRAL - DEPARTMENT OF EDUCATION
DOE,DEPARTMENT OF EDUCATION
DOE,SCHOOL - JHS 72 CATHERINE AND COUNT BASIE
DOE,SCHOOL - PS 4 MAURICE WOLLIN
DOE,SCHOOL - PS-IS 137 RACHEL JEAN MITCHELL
DOE,SCHOOL - PS 123
DOE,SCHOOL - RIVERDALE KINGSBRIDGE ACADEMY
DOE,SCHOOL - PS 235 LENOX SCHOOL
DOE,SCHOOL - PS 204 MORRIS HEIGHTS
DOE,SCHOOL - PS 87 MIDDLE VILLAGE
DOE,SCHOOL - PS 100 GLEN MORRIS
DOE,SCHOOL - PS 231
DOE,SCHOOL - PAULA HEDBAVNY SCHOOL
DOE,SCHOOL - NEWTOWN HIGH SCHOOL
DOE,SCHOOL - PS 1 TOTTENVILLE
DOE,SCHOOL - PS-MS 29 MELROSE SCHOOL
DOE,SCHOOL - PS 114 RYDER ELEMENTARY
DOE,SCHOOL - BROOKLYN COLLEGE ACADEMY
DOE,SCHOOL - PS 132 JUAN PABLO DUARTE
DOE,SCHOOL - PS 57 CRESCENT
DOE,SCHOOL - PS 120 QUEENS
DOE,SCHOOL - PS 307 EAMES PLACE
DOE,SCHOOL - PS 187 HUDSON CLIFFS
DOE,SCHOOL - PS 246 POE CENTER
DOE,SCHOOL - PS 100 THE CONEY ISLAND SCHOOL
DOE,ALTERNATIVE SUPERINTENDENCY
DOE,SCHOOL - PS 149 SOJOURNER TRUTH
DOE,SCHOOL - PS 41 FRANCIS WHITE
DOE,SCHOOL - ALFRED E SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
DOE,SCHOOL - IS 195 ROBERTO CLEMENTE
DOE,SCHOOL - PS 76 WILLIAM HALLET
DOE,SCHOOL - PS 150 QUEENS
DOE,SCHOOL - FORT HAMILTON HIGH SCHOOL
DOE,SCHOOL - MARTA VALLE SECONDARY SCHOOL
DOE,SCHOOL - PS 9 SARAH ANDERSON
DOE,SCHOOL - PS 290 JUAN MOREL CAMPOS
DOE,SCHOOL - PS 8 ISSAC VARIAN
DOE,SCHOOL - IS 141 THE STEINWAY
DOE,SCHOOL - PS 101 ANDREW DRAPER
DOE,SCHOOL - PS 224 HALE A WOODRUFF
DOE,SCHOOL - PS 12
DOE,SCHOOL - PS 158 BAYARD TAYLOR
DOE,SCHOOL - PS 94 THE HENRY LONGFELLOW
DOE,SCHOOL - PS 87 WILLIAM SHERMAN
DOE,SCHOOL - PS 70 QUEENS
DOE,SCHOOL - PS 90 HORACE MANN
DOE,SCHOOL - PS 93 ALBERT G OLIVER
DOE,SCHOOL - PS 53 BAY TERRACE
DOE,SCHOOL - FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC AND ART AND PERFORMING ARTS
DOE,SCHOOL - PS 6 LILLIE D BLAKE
DOE,SCHOOL - PS 306 ETHAN ALLEN
DOE,SCHOOL - PS 219 KENNEDY-KING
DOE,SCHOOL - PS 199 JESSIE ISADOR STRAUS
DOE,SCHOOL - THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE
DOE,SCHOOL - PS 111 ADOLPH S OCHS
DOE,OFFICE OF THE CIO - DEPARTMENT OF EDUCATION
DOE,SCHOOL - PS 81 THADDEUS STEVENS
DOE,SCHOOL - PS 71 ROSE E SCALA
DOE,SCHOOL - AVIATION CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
DOE,SCHOOL - PS 199 MAURICE A FITZGERALD
DOE,SCHOOL - PS 84 LILLIAN WEBER
DOE,SCHOOL - PS 75 EMILY DICKINSON
DOE,SCHOOL - BROOKLYN TECHNICAL HIGH SCHOOL
DOE,SCHOOL - AUGUST MARTIN HIGH SCHOOL
DOE,SCHOOL - WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING AND VISUAL ARTS
DOE,SCHOOL - JAMES MADISON HIGH SCHOOL
DOE,SCHOOL - MS 246 WALT WHITMAN
DOE,SCHOOL - PS 38 THE PACIFIC
DOE,SCHOOL - ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS
DOE,SCHOOL - PS 145 ANDREW JACKSON
DOE,SCHOOL - FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL
DOE,SCHOOL - PS 16 LEONARD DUNKLY
DOE,SCHOOL - PS 229 EMANUEL KAPLAN
DOE,SCHOOL - PS 198 ISADOR E IDA STRAUS
DOE,SCHOOL - PS 233 LANGSTON HUGHES
DOE,SCHOOL - PS 54 SAMUEL C BARNES
DOE,SCHOOL - PS 89 BRONX
DOE,SCHOOL - MONROE ACADEMY FOR VISUAL ARTS AND DESIGN
DOE,SCHOOL - JOHN ADAMS HIGH SCHOOL
DOE,SCHOOL - PS 49 WILLIS AVENUE
DOE,SCHOOL - MS 324 - PATRIA MIRABAL
DOE,SCHOOL - JHS 118 WILLIAM W NILES
DOE,SCHOOL - GROVER CLEVELAND HIGH SCHOOL
DOE,SCHOOL - PS 133 WILLIAM A BUTLER
DOE,SCHOOL - PS 205 CLARION
DOE,SCHOOL - HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS
DOE,SCHOOL - MANHATTAN - HUNTER SCIENCE HIGH SCHOOL
DOE,SCHOOL - PS 186 WALTER J DAMROSCH SCHOOL
DOE,SCHOOL - PS 69 JACKSON HEIGHTS
DOE,SCHOOL - MS 399
DOE,SCHOOL - PS 222 KATHERINE R SNYDER
DOE,SCHOOL - FRANCIS LEWIS HIGH SCHOOL
DOE,SCHOOL - ACADEMY FOR ENVIRONMENTAL LEADERSHIP
DOE,SCHOOL - PS 140 NATHAN STRAUS
DOE,SCHOOL - FRANKLIN DELANO ROOSEVELT HIGH SCHOOL
DOE,SCHOOL - PS 184 FLUSHING MANOR
DOE,SCHOOL - PS 304 EARLY CHILDHOOD SCHOOL
DOE,SCHOOL - PS 40 SAMUEL HUNTINGTON
DOE,SCHOOL - TITO PUENTE EDUCATION COMPLEX
DOE,SCHOOL - FOREST HILLS HIGH SCHOOL
DOE,SCHOOL - PS 158 WARWICK
DOE,SCHOOL - WILLIAM CULLEN BRYANT HIGH SCHOOL
DOE,SCHOOL - PS 167 THE PARKWAY
DOE,SCHOOL - PS 162 JOHN GOLDEN
DOE,SCHOOL - PS 177 THE MARLBORO
DOE,SCHOOL - PS 106 PARKCHESTER
DOE,SCHOOL - PS 346 ABE STARK
DOE,SCHOOL - PS 46 EDGAR ALLAN POE
DOE,SCHOOL - PS 45 JOHN TYLER
DOE,SCHOOL - PS 33 CHELSEA SCHOOL
DOE,SCHOOL - INTERNATIONAL HIGH SCHOOL AT LAFAYETTE
DOE,SCHOOL - HIGH SCHOOL FOR CIVIL RIGHTS
DOE,SCHOOL - HERBERT H LEHMAN HIGH SCHOOL
DOE,SCHOOL - HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY
